Elaborativo;MAT;LENG;CIENCIA
0;429;573;443
0;572;534;497
1;631;692;611
0;713;654;694
1;591;523;537
0;610;530;558
1;619;628;409
0;596;628;625
1;644;466;523
0;644;628;591
1;586;573;591
1;631;620;611
1;652;510;564
1;619;573;570
1;636;604;611
0;591;566;611
1;581;604;591
1;581;558;537
1;611;516;505
0;685;596;570
1;586;523;443
0;636;558;576
1;652;530;620
1;605;537;570
1;591;663;506
0;482;508;480
1;605;674;629
1;527;628;558
1;558;573;409
0;625;612;639
1;636;704;629
1;623;537;637
1;652;704;625
0;629;579;582
1;614;588;564
0;623;637;586
1;551;566;582
1;725;530;629
0;564;510;506
0;627;517;601
1;591;551;470
1;627;580;637
1;713;604;689
1;575;646;586
1;596;637;564
1;564;612;558
0;591;558;506
0;605;537;506
1;627;674;611
0;591;588;564
1;656;646;564
1;614;566;606
1;605;450;545
1;656;628;596
1;575;612;523
1;631;637;545
1;605;510;506
0;660;620;596
0;596;588;551
1;636;566;629
1;507;496;484
1;596;637;545
0;495;481;495
1;614;588;596
0;581;537;615
1;648;716;606
0;644;537;606
1;507;558;523
1;689;716;684
0;668;558;606
1;652;442;545
0;601;496;606
1;680;628;646
1;527;489;506
1;636;620;611
1;581;566;558
1;668;596;558
0;605;510;371
0;575;551;514
1;570;566;529
0;591;530;457
1;601;620;564
1;627;573;537
1;575;530;495
1;586;588;601
0;636;530;601
1;578;650;546
1;623;654;637
0;481;481;409
1;536;489;443
0;570;517;576
1;558;551;529
1;586;654;646
0;551;544;425
1;614;573;576
1;507;466;470
1;596;620;576
1;570;596;582
1;581;537;506
1;601;481;591
1;660;612;637
0;652;704;625
1;623;566;551
